Date,price,log_return,volatility
2021-09-16,4473.75,-0.001552344712765219,0.004741909838703911
2021-09-17,4432.990234375,-0.009152630275798046,0.005130197471338211
2021-09-20,4357.72998046875,-0.017123077726381553,0.006863290474667941
2021-09-21,4354.18994140625,-0.0008126886585468895,0.006936674167957536
2021-09-22,4395.64013671875,0.009474585224218401,0.008097522936932769
2021-09-23,4448.97998046875,0.012061680369937378,0.00928061157678168
2021-09-24,4455.47998046875,0.0014599428113637458,0.00898743374790741
2021-09-27,4443.10986328125,-0.0027802439201884965,0.008983115643625281
2021-09-28,4352.6298828125,-0.020574317739892933,0.010941188565563066
2021-09-29,4359.4599609375,0.0015679543362843162,0.0104118951313172
2021-09-30,4307.5400390625,-0.011981202945015923,0.010794629780482528
2021-10-01,4357.0400390625,0.011425952113334858,0.011590087930215077
2021-10-04,4300.4599609375,-0.013070952048643392,0.01105031202409154
2021-10-05,4345.72021484375,0.010469517498600922,0.011666939021290738
2021-10-06,4363.5498046875,0.004094399349623856,0.011289443254198195
2021-10-07,4399.759765625,0.008264039225066355,0.01086721110859689
2021-10-08,4391.33984375,-0.0019155566024213755,0.010830792489919305
2021-10-11,4361.18994140625,-0.006889441644339911,0.010964000091216541
2021-10-12,4350.64990234375,-0.002419705686554252,0.008813166650404703
2021-10-13,4363.7998046875,0.003017955870230793,0.00885449310398186
2021-10-14,4438.259765625,0.016919162285711664,0.009183638520142453
2021-10-15,4471.3701171875,0.00743252063718991,0.008857044921330378
2021-10-18,4486.4599609375,0.003369087801804227,0.006946884955648888
2021-10-19,4519.6298828125,0.007366142784235308,0.006702401476071997
2021-10-20,4536.18994140625,0.003657333598560797,0.006702590877790271
2021-10-21,4549.77978515625,0.002991393168359835,0.0065244317330735
2021-10-22,4544.89990234375,-0.0010731292246628499,0.006453905229942414
2021-10-25,4566.47998046875,0.004736959440853283,0.005337603949864307
2021-10-26,4574.7900390625,0.0018181414322437917,0.004865737463358214
2021-10-27,4551.68017578125,-0.005064370371105298,0.0058146371722261085
2021-10-28,4596.419921875,0.009781288424184353,0.004330609139530469
2021-10-29,4605.3798828125,0.0019474372317169752,0.004119621839166021
2021-11-01,4613.669921875,0.0017984589459025813,0.00413191904120576
2021-11-02,4630.64990234375,0.0036736071203886667,0.003832246910206711
2021-11-03,4660.56982421875,0.00644049461288887,0.004027633305313334
2021-11-04,4680.06005859375,0.004173222342817695,0.004054221226668811
2021-11-05,4697.52978515625,0.0037258500452850285,0.003818968123173354
2021-11-08,4701.7001953125,0.0008873940607010411,0.00385225032870963
2021-11-09,4685.25,-0.0035049109263987077,0.004355975753871671
2021-11-10,4646.7099609375,-0.008259842163861109,0.005028525062788177
2021-11-11,4649.27001953125,0.0005507883329887164,0.004240415260487715
2021-11-12,4682.85009765625,0.0071966975641295505,0.004655607509636442
2021-11-15,4682.7998046875,-1.0739878016252646e-05,0.004685042349761011
2021-11-16,4700.89990234375,0.003857779057126365,0.004694943529929977
2021-11-17,4688.669921875,-0.0026050154828958227,0.004506114714963499
2021-11-18,4704.5400390625,0.003379064740171245,0.004442717202434588
2021-11-19,4697.9599609375,-0.0013996446049873157,0.004326117200525156
2021-11-22,4682.93994140625,-0.003202258316960638,0.004426021203092564
2021-11-23,4690.7001953125,0.001655761383194232,0.004323417146213661
2021-11-24,4701.4599609375,0.0022912237766679056,0.0031914177078643247
2021-11-26,4594.6201171875,-0.022987011159321113,0.008296622984829237
2021-11-29,4655.27001953125,0.013113836082823127,0.009129789963689596
2021-11-30,4567.0,-0.019143381187848973,0.010839420829907286
2021-12-01,4513.0400390625,-0.01188554145795706,0.010955436925998954
2021-12-02,4577.10009765625,0.014094638396057846,0.012384540318332648
2021-12-03,4538.43017578125,-0.008484455141738678,0.012336677786313066
2021-12-06,4591.669921875,0.011662599309685717,0.013252449766694983
2021-12-07,4686.75,0.02049560318625332,0.01506565782727761
2021-12-08,4701.2099609375,0.0030805355865854978,0.015088920959045547
2021-12-09,4667.4501953125,-0.007206988232523415,0.015242486968807454
2021-12-10,4712.02001953125,0.009503769118209604,0.013310531455847329
2021-12-13,4668.97021484375,-0.009178158342793452,0.01320602963999767
2021-12-14,4634.08984375,-0.0074987228546241624,0.011732912473521824
2021-12-15,4709.85009765625,0.016216267351891744,0.01154564792657219
2021-12-16,4668.669921875,-0.008781863311112303,0.01164828949048987
2021-12-17,4620.64013671875,-0.010340964584054646,0.011846723432954235
2021-12-20,4568.02001953125,-0.011453398323256536,0.011962111090383008
2021-12-21,4649.22998046875,0.01762175538519628,0.011423618147196222
2021-12-22,4696.56005859375,0.010128728029126677,0.011897504602502945
2021-12-23,4725.7900390625,0.006204412685251626,0.01176235686552847
2021-12-27,4791.18994140625,0.013744051573606697,0.01216288648357604
2021-12-28,4786.35009765625,-0.0010106653988870562,0.01161568288100977
2021-12-29,4793.06005859375,0.0014009134018575509,0.011095210567455523
2021-12-30,4778.72998046875,-0.002994233841905114,0.010255720140949503
2021-12-31,4766.18017578125,-0.0026296343734735217,0.009745440558079558
2022-01-03,4796.56005859375,0.006353824170387767,0.00876423897709969
2022-01-04,4793.5400390625,-0.0006298202522039276,0.007210502295494285
2022-01-05,4700.580078125,-0.019583264304500858,0.009195746140294135
2022-01-06,4696.0498046875,-0.000964233740180731,0.00863750651231778
2022-01-07,4677.02978515625,-0.004058441082335662,0.008424034710812114
2022-01-10,4670.2900390625,-0.0014420705375393084,0.006644107211985668
2022-01-11,4713.06982421875,0.00911828645239865,0.0076079926909657525
2022-01-12,4726.35009765625,0.002813792014666916,0.007681500058589813
2022-01-13,4659.02978515625,-0.014346029234399538,0.008712601935882074
2022-01-14,4662.85009765625,0.0008196442695904693,0.008776559423370748
2022-01-18,4577.10986328125,-0.018559105398008313,0.009580338602150273
2022-01-19,4532.759765625,-0.009736790941460072,0.009585072729424228
2022-01-20,4482.72998046875,-0.011098742304332276,0.008526191676503793
2022-01-21,4397.93994140625,-0.01909599532463524,0.009504565645356858
2022-01-24,4410.1298828125,0.0027679047582704897,0.009939277648417432
2022-01-25,4356.4501953125,-0.012246590556866721,0.009990862609566583
2022-01-26,4349.93017578125,-0.0014977569258860512,0.008553673782739154
2022-01-27,4326.509765625,-0.005398635199970414,0.00775512387515647
2022-01-28,4431.85009765625,0.024055967914735632,0.012673567533319977
2022-01-31,4515.5498046875,0.01870982622298456,0.014688696113597589
2022-02-01,4546.5400390625,0.00683956034831823,0.013915255930024408
2022-02-02,4589.3798828125,0.009378400448323276,0.01384412636891889
2022-02-03,4477.43994140625,-0.02469347172011993,0.01572964342926535
2022-02-04,4500.52978515625,0.005143678439862853,0.01428115987658633
2022-02-07,4483.8701171875,-0.003708580927828109,0.014404203252026602
2022-02-08,4521.5400390625,0.008366113466633962,0.013648331387267043
2022-02-09,4587.18017578125,0.014412842079265076,0.013897662877235225
2022-02-10,4504.080078125,-0.01828182448505622,0.015504915524203305
2022-02-11,4418.64013671875,-0.019151682638085532,0.015321056477826441
2022-02-14,4401.669921875,-0.003847990755629027,0.01379617187830377
2022-02-15,4471.06982421875,0.015643717646064204,0.014712734710541332
2022-02-16,4475.009765625,0.0008808197202831991,0.014241308329154703
2022-02-17,4380.259765625,-0.021400504136936505,0.013699488839671384
2022-02-18,4348.8701171875,-0.007191961663865598,0.01351952015754132
2022-02-22,4304.759765625,-0.010194735435016256,0.013689010274032786
2022-02-23,4225.5,-0.01858373574878769,0.013619886322890812
2022-02-24,4288.7001953125,0.014846105252724229,0.013695244396309623
2022-02-25,4384.64990234375,0.022126080551265304,0.01571919979983563
2022-02-28,4373.93994140625,-0.0024455914631271725,0.014624618986903058
2022-03-01,4306.259765625,-0.015594467786611332,0.015331922357274897
2022-03-02,4386.5400390625,0.01847104678065037,0.015718554674314215
