Date,price,log_return,volatility,regime,prob_state_0,prob_state_1,prob_state_2,confidence,argmax_state,viterbi_differs,label
2021-09-16,4473.75,-0.0015523447127652,0.0047419098387039,2,1.2253468994587956e-66,2.8434398602782216e-45,1.0,1.0,2,False,Bull
2021-09-17,4432.990234375,-0.009152630275798,0.0051301974713382,2,1.3230980568363989e-27,0.00848090224821577,0.9915190977518109,0.9915190977518109,2,False,Bull
2021-09-20,4357.72998046875,-0.0171230777263815,0.0068632904746679,1,4.687176125147969e-06,0.42549254569866246,0.5745027671251839,0.5745027671251839,2,True,Transition
2021-09-21,4354.18994140625,-0.0008126886585468,0.0069366741679575,1,7.019034311946153e-05,0.4977348360024804,0.5021949736544521,0.5021949736544521,2,True,Transition
2021-09-22,4395.64013671875,0.0094745852242184,0.0080975229369327,1,6.053618949342924e-05,0.9070538476278778,0.09288561618265087,0.9070538476278778,1,False,Transition
2021-09-23,4448.97998046875,0.0120616803699373,0.0092806115767816,1,0.00010485811981941763,0.9991236478944803,0.0007714939858590294,0.9991236478944803,1,False,Transition
2021-09-24,4455.47998046875,0.0014599428113637,0.0089874337479074,1,7.39089242007372e-05,0.9997961520145134,0.0001299390612883562,0.9997961520145134,1,False,Transition
2021-09-27,4443.10986328125,-0.0027802439201884,0.0089831156436252,1,0.0001134011947413767,0.9998093350972082,7.726370803423862e-05,0.9998093350972082,1,False,Transition
2021-09-28,4352.6298828125,-0.0205743177398929,0.010941188565563,1,0.0007807808422290852,0.9992192159822626,3.175440744844823e-09,0.9992192159822626,1,False,Transition
2021-09-29,4359.4599609375,0.0015679543362843,0.0104118951313172,1,0.0001973910368006923,0.9998005971811048,2.0117821106731155e-06,0.9998005971811048,1,False,Transition
2021-09-30,4307.5400390625,-0.0119812029450159,0.0107946297804825,1,0.0003535513178533804,0.9996463396753538,1.0900676189254763e-07,0.9996463396753538,1,False,Transition
2021-10-01,4357.0400390625,0.0114259521133348,0.011590087930215,1,0.0006451634634942275,0.9993548140583038,2.2478267171451327e-08,0.9993548140583038,1,False,Transition
2021-10-04,4300.4599609375,-0.0130709520486433,0.0110503120240915,1,0.0005802343893388636,0.9994197275916642,3.801884602933945e-08,0.9994197275916642,1,False,Transition
2021-10-05,4345.72021484375,0.0104695174986009,0.0116669390212907,1,0.0006443058960713581,0.9993556724690211,2.1635017396249858e-08,0.9993556724690211,1,False,Transition
2021-10-06,4363.5498046875,0.0040943993496238,0.0112894432541981,1,0.0003327640635105592,0.9996670858231299,1.5011323914793249e-07,0.9996670858231299,1,False,Transition
2021-10-07,4399.759765625,0.0082640392250663,0.0108672111085968,1,0.00022740007756520588,0.9997722659433799,3.339788495441753e-07,0.9997722659433799,1,False,Transition
2021-10-08,4391.33984375,-0.0019155566024213,0.0108307924899193,1,0.0001722392314907667,0.9998272032134095,5.575551717405073e-07,0.9998272032134095,1,False,Transition
2021-10-11,4361.18994140625,-0.0068894416443399,0.0109640000912165,1,0.0001994362825554428,0.999800336680142,2.270372757385352e-07,0.999800336680142,1,False,Transition
2021-10-12,4350.64990234375,-0.0024197056865542,0.0088131666504047,1,7.968564972482407e-05,0.9997998892104438,0.0001204251399343264,0.9997998892104438,1,False,Transition
2021-10-13,4363.7998046875,0.0030179558702307,0.0088544931039818,1,7.793687537022767e-05,0.9997926848441573,0.000129378280371331,0.9997926848441573,1,False,Transition
2021-10-14,4438.259765625,0.0169191622857116,0.0091836385201424,1,0.00017424098983570145,0.9997105678598587,0.00011519115050897745,0.9997105678598587,1,False,Transition
2021-10-15,4471.3701171875,0.0074325206371899,0.0088570449213303,1,1.578149342139544e-05,0.9600391257410308,0.03994509276566457,0.9600391257410308,1,False,Transition
2021-10-18,4486.4599609375,0.0033690878018042,0.0069468849556488,2,4.779817074109374e-06,0.17860712079954771,0.8213880993834594,0.8213880993834594,2,False,Bull
2021-10-19,4519.6298828125,0.0073661427842353,0.0067024014760719,2,8.402285456067724e-07,0.02847931543187424,0.9715198443396879,0.9715198443396879,2,False,Bull
2021-10-20,4536.18994140625,0.0036573335985607,0.0067025908777902,2,6.365899286242124e-08,0.003468240513919706,0.996531695827292,0.996531695827292,2,False,Bull
2021-10-21,4549.77978515625,0.0029913931683598,0.0065244317330735,2,5.284899731805057e-09,0.0004135344956345102,0.9995864602196896,0.9995864602196896,2,False,Bull
2021-10-22,4544.89990234375,-0.0010731292246628,0.0064539052299424,2,8.300935387733288e-11,0.0001411716251128579,0.999858828291838,0.999858828291838,2,False,Bull
2021-10-25,4566.47998046875,0.0047369594408532,0.0053376039498643,2,7.678110157696168e-12,1.7384081819129927e-05,0.9999826159106685,0.9999826159106685,2,False,Bull
2021-10-26,4574.7900390625,0.0018181414322437,0.0048657374633582,2,5.609638581945709e-12,6.744973424486207e-06,0.9999932550208642,0.9999932550208642,2,False,Bull
2021-10-27,4551.68017578125,-0.0050643703711052,0.0058146371722261,2,4.905753852630673e-13,4.9233045119246495e-05,0.9999507669545827,0.9999507669545827,2,False,Bull
2021-10-28,4596.419921875,0.0097812884241843,0.0043306091395304,2,2.174181575285225e-12,6.274079651779196e-06,0.9999937259182304,0.9999937259182304,2,False,Bull
2021-10-29,4605.3798828125,0.0019474372317169,0.004119621839166,2,1.3197665127615096e-13,2.1071870652275604e-06,0.9999978928125902,0.9999978928125902,2,False,Bull
2021-11-01,4613.669921875,0.0017984589459025,0.0041319190412057,2,2.628492242677762e-14,2.1338571220108146e-06,0.9999978661430788,0.9999978661430788,2,False,Bull
2021-11-02,4630.64990234375,0.0036736071203886,0.0038322469102067,2,5.635151891495199e-14,1.486033504420621e-06,0.9999985139663422,0.9999985139663422,2,False,Bull
2021-11-03,4660.56982421875,0.0064404946128888,0.0040276333053133,2,4.019463163733943e-14,2.429619236395647e-06,0.9999975703806242,0.9999975703806242,2,False,Bull
2021-11-04,4680.06005859375,0.0041732223428176,0.0040542212266688,2,3.43408872176583e-14,2.081583752746443e-06,0.9999979184161767,0.9999979184161767,2,False,Bull
2021-11-05,4697.52978515625,0.003725850045285,0.0038189681231733,2,3.3917314966431166e-14,1.4621584053609853e-06,0.9999985378414524,0.9999985378414524,2,False,Bull
2021-11-08,4701.7001953125,0.000887394060701,0.0038522503287096,2,5.754369961379293e-14,1.4399231619611751e-06,0.9999985600767467,0.9999985600767467,2,False,Bull
2021-11-09,4685.25,-0.0035049109263987,0.0043559757538716,2,2.9568777794560905e-13,3.7935211068570918e-06,0.999996206478419,0.999996206478419,2,False,Bull
2021-11-10,4646.7099609375,-0.0082598421638611,0.0050285250627881,2,1.9497451538610708e-13,2.177802864971208e-05,0.9999782219713265,0.9999782219713265,2,False,Bull
2021-11-11,4649.27001953125,0.0005507883329887,0.0042404152604877,2,1.098073215109602e-12,2.5431552383502317e-06,0.9999974568436807,0.9999974568436807,2,False,Bull
2021-11-12,4682.85009765625,0.0071966975641295,0.0046556075096364,2,1.4790899412253038e-13,6.73589567122769e-06,0.9999932641043814,0.9999932641043814,2,False,Bull
2021-11-15,4682.7998046875,-1.0739878016252646e-05,0.004685042349761,2,2.277654105867418e-13,4.97098980437795e-06,0.9999950290099013,0.9999950290099013,2,False,Bull
2021-11-16,4700.89990234375,0.0038577790571263,0.0046949435299299,2,1.5190007057674268e-13,5.316113662914945e-06,0.9999946838861767,0.9999946838861767,2,False,Bull
2021-11-17,4688.669921875,-0.0026050154828958,0.0045061147149634,2,1.5010308047572305e-13,4.337568190792529e-06,0.9999956624318141,0.9999956624318141,2,False,Bull
2021-11-18,4704.5400390625,0.0033790647401712,0.0044427172024345,2,1.0127548556673999e-13,3.5272979097744134e-06,0.9999964727020051,0.9999964727020051,2,False,Bull
2021-11-19,4697.9599609375,-0.0013996446049873,0.0043261172005251,2,3.494046618044492e-13,3.0486269104987977e-06,0.9999969513729497,0.9999969513729497,2,False,Bull
2021-11-22,4682.93994140625,-0.0032022583169606,0.0044260212030925,2,1.9153825531460165e-11,4.047607489084502e-06,0.9999959523734168,0.9999959523734168,2,False,Bull
2021-11-23,4690.7001953125,0.0016557613831942,0.0043234171462136,2,2.0629576407139866e-09,3.701270744437445e-06,0.9999962966663041,0.9999962966663041,2,False,Bull
2021-11-24,4701.4599609375,0.0022912237766679,0.0031914177078643,2,1.4420637924293404e-07,0.0004028146711326104,0.9995970411223964,0.9995970411223964,2,False,Bull
